Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/invoices?skip=45&limit=10,1,1,4.435583000486076,4.435583000486076,4.435583000486076,4.435583000486076,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/invoices?skip=45&limit=50,1,1,3.4151669997299905,3.4151669997299905,3.4151669997299905,3.4151669997299905,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
GET,/invoices?skip=48&limit=25,1,1,2.7986670002064784,2.7986670002064784,2.7986670002064784,2.7986670002064784,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
GET,/invoices?skip=51&limit=25,1,1,3.6928330000591814,3.6928330000591814,3.6928330000591814,3.6928330000591814,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/invoices?skip=61&limit=10,1,1,2.2176250004122267,2.2176250004122267,2.2176250004122267,2.2176250004122267,22.0,0.017151907866073037,0.017151907866073037,2,2,2,2,2,2,2,2,2,2,2
GET,/invoices?skip=61&limit=100,1,1,4.745707999973092,4.745707999973092,4.745707999973092,4.745707999973092,22.0,0.017151907866073037,0.017151907866073037,5,5,5,5,5,5,5,5,5,5,5
GET,/invoices?skip=66&limit=100,1,1,3.861041000163823,3.861041000163823,3.861041000163823,3.861041000163823,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/invoices?skip=7&limit=100,1,1,3.305833000013081,3.305833000013081,3.305833000013081,3.305833000013081,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
GET,/invoices?skip=81&limit=25,1,1,4.537915999208053,4.537915999208053,4.537915999208053,4.537915999208053,22.0,0.017151907866073037,0.017151907866073037,5,5,5,5,5,5,5,5,5,5,5
GET,/invoices?skip=84&limit=25,1,1,6.1541250006484916,6.1541250006484916,6.1541250006484916,6.1541250006484916,22.0,0.017151907866073037,0.017151907866073037,6,6,6,6,6,6,6,6,6,6,6
GET,/invoices?skip=86&limit=50,1,1,4.698040999755904,4.698040999755904,4.698040999755904,4.698040999755904,22.0,0.017151907866073037,0.017151907866073037,5,5,5,5,5,5,5,5,5,5,5
GET,/invoices?skip=94&limit=100,1,1,2.9010840007686056,2.9010840007686056,2.9010840007686056,2.9010840007686056,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
GET,/regions,20,20,4,3.474818649920053,1.2980419996893033,7.95399999969959,22.0,0.3430381573214607,0.3430381573214607,4,4,4,4,5,8,8,8,8,8,8
GET,/suppliers?limit=10,7,7,3,3.1946010000995426,1.719416000014462,6.2004159999560216,22.0,0.12006335506251124,0.12006335506251124,3,3,4,4,6,6,6,6,6,6,6
GET,/suppliers?limit=15,96,96,4,4.551164093745304,1.5017089999673772,30.19600000061473,22.0,1.6465831551430115,1.6465831551430115,4,5,5,6,6,6,7,30,30,30,30
GET,/suppliers?limit=200,97,97,4,3.5104553402017755,0.8447919999525766,8.797292000053858,22.0,1.6637350630090844,1.6637350630090844,4,4,4,4,5,6,8,9,9,9,9
GET,/suppliers?limit=25,16,16,4,3.5043541875552364,1.473416999942856,4.906041000140249,22.0,0.2744305258571686,0.2744305258571686,4,4,4,4,5,5,5,5,5,5,5
GET,/suppliers?limit=50,8,8,3,3.1864011249354007,1.3839580005878815,4.656541999793262,22.0,0.1372152629285843,0.1372152629285843,4,4,4,4,5,5,5,5,5,5,5
POST,/token,50,0,12,11.528485819981142,5.959999999504362,16.57912500013481,71.0,0.8575953933036518,0.0,12,12,13,13,15,17,17,17,17,17,17
